caldt,spindx
01/02/2001,1283.27
01/03/2001,1347.56
01/04/2001,1333.34
01/05/2001,1298.35
01/08/2001,1295.86
01/09/2001,1300.80
01/10/2001,1313.27
01/11/2001,1326.82
01/12/2001,1318.32
01/16/2001,1326.65
01/17/2001,1329.47
01/18/2001,1347.97
01/19/2001,1342.54
01/22/2001,1342.90
01/23/2001,1360.40
01/24/2001,1364.30
01/25/2001,1357.51
01/26/2001,1354.95
01/29/2001,1364.17
01/30/2001,1373.73
01/31/2001,1366.01
02/01/2001,1373.47
02/02/2001,1349.47
02/05/2001,1354.31
02/06/2001,1352.26
02/07/2001,1340.89
02/08/2001,1332.53
02/09/2001,1314.76
02/12/2001,1330.31
02/13/2001,1318.80
02/14/2001,1315.92
02/15/2001,1326.61
02/16/2001,1301.53
02/20/2001,1278.94
02/21/2001,1255.27
02/22/2001,1252.82
02/23/2001,1245.86
02/26/2001,1267.65
02/27/2001,1257.94
02/28/2001,1239.94
03/01/2001,1241.23
03/02/2001,1234.18
03/05/2001,1241.41
03/06/2001,1253.80
03/07/2001,1261.89
03/08/2001,1264.74
03/09/2001,1233.42
03/12/2001,1180.16
03/13/2001,1197.66
03/14/2001,1166.71
03/15/2001,1173.56
03/16/2001,1150.53
03/19/2001,1170.81
03/20/2001,1142.62
03/21/2001,1122.14
03/22/2001,1117.58
03/23/2001,1139.83
03/26/2001,1152.69
03/27/2001,1182.17
03/28/2001,1153.29
03/29/2001,1147.95
03/30/2001,1160.33
04/02/2001,1145.87
04/03/2001,1106.46
04/04/2001,1103.25
04/05/2001,1151.44
04/06/2001,1128.43
04/09/2001,1137.59
04/10/2001,1168.38
04/11/2001,1165.89
04/12/2001,1183.50
04/16/2001,1179.68
04/17/2001,1191.81
04/18/2001,1238.16
04/19/2001,1253.70
04/20/2001,1242.98
04/23/2001,1224.36
04/24/2001,1209.47
04/25/2001,1228.75
04/26/2001,1234.52
04/27/2001,1253.05
04/30/2001,1249.46
05/01/2001,1266.44
05/02/2001,1267.43
05/03/2001,1248.58
05/04/2001,1266.61
05/07/2001,1263.51
05/08/2001,1261.20
05/09/2001,1255.54
05/10/2001,1255.18
05/11/2001,1245.67
05/14/2001,1248.92
05/15/2001,1249.44
05/16/2001,1284.99
05/17/2001,1288.49
05/18/2001,1291.96
05/21/2001,1312.83
05/22/2001,1309.38
05/23/2001,1289.05
05/24/2001,1293.17
05/25/2001,1277.89
05/29/2001,1267.93
05/30/2001,1248.08
05/31/2001,1255.82
06/01/2001,1260.67
06/04/2001,1267.11
06/05/2001,1283.57
06/06/2001,1270.03
06/07/2001,1276.96
06/08/2001,1264.96
06/11/2001,1254.39
06/12/2001,1255.85
06/13/2001,1241.60
06/14/2001,1219.87
06/15/2001,1214.36
06/18/2001,1208.43
06/19/2001,1212.58
06/20/2001,1223.14
06/21/2001,1237.04
06/22/2001,1225.35
06/25/2001,1218.60
06/26/2001,1216.76
06/27/2001,1211.07
06/28/2001,1226.20
06/29/2001,1224.42
07/02/2001,1236.71
07/03/2001,1234.45
07/05/2001,1219.24
07/06/2001,1190.59
07/09/2001,1198.78
07/10/2001,1181.52
07/11/2001,1180.18
07/12/2001,1208.14
07/13/2001,1215.68
07/16/2001,1202.45
07/17/2001,1214.44
07/18/2001,1207.71
07/19/2001,1215.02
07/20/2001,1210.85
07/23/2001,1191.03
07/24/2001,1171.65
